"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","lnm2total","residuos","dist_subte","dist_tren","dist_obe","count_delitos","Residuos_Ej_4"
1836,"VTA","TERRENO",-34.596102,-58.4196444,257,670000,"PALERMO",14,13.4150329913671,5.54907608489522,-0.412312473269265,792.784640848524,1707.25647665688,3587.62113277813,970,-0.449107524787223
1837,"VTA","TERRENO",-34.5845303,-58.4195963,234,1800000,"PALERMO",14,14.4032972228664,5.4553211153577,0.630996143821066,341.17334587506,897.995382227033,4075.16258461481,891,0.480784482979049
1838,"VTA","TERRENO",-34.6213936,-58.4194721,312,2250000,"BOEDO",5,14.6264407741806,5.74300318780948,1.4374715268429,569.828346961751,1715.97700059277,4000.21029944445,447,1.44005894874935
1839,"VTA","TERRENO",-34.6083764,-58.4194558,227.99,1150000,"ALMAGRO",5,13.9552725003394,5.42930176834346,0.529024223330233,434.272550060833,971.640266552564,3515.25887712549,986,0.454037041375006
1840,"VTA","TERRENO",-34.6230603,-58.4193858,204,255000,"BOEDO",5,12.4490188241406,5.31811999384422,-0.49049767978349,436.202767276041,1867.13452130738,4088.18237181679,528,-0.520219452459854
1841,"VTA","TERRENO",-34.6203499,-58.4193802,264,840000,"ALMAGRO",5,13.6411571708195,5.57594910314632,0.128810925002748,658.892660831562,1616.88008109839,3936.74892950546,459,0.309026043609421
1842,"VTA","TERRENO",-34.6356587,-58.4193506,550,400000,"BOEDO",5,12.8992198260901,6.30991827822652,-0.622590368114228,891.745630057337,1382.97326838316,4969.55153400251,393,-0.547477009795485
1843,"VTA","TERRENO",-34.6400386,-58.4192631,378,390000,"NUEVA POMPEYA",4,12.8739020181058,5.93489419561959,0.11978555571564,645.209235388649,898.227163197519,5323.46179041224,424,0.0313795019047857
1844,"VTA","TERRENO",-34.6226113,-58.4191927,550,250000,"BOEDO",5,12.4292161968444,6.30991827822652,-1.09259399735996,453.911860374852,1815.37045354088,4046.91424089697,505,-1.11121992760509
1845,"VTA","TERRENO",-34.5964339,-58.4190788,202,425000,"PALERMO",14,12.9598444479066,5.30826769740121,-0.726120247260524,766.423584598689,1647.32998022812,3528.73881977543,1010,-0.787374064813982
1846,"VTA","TERRENO",-34.6128217,-58.4190766,381,820000,"ALMAGRO",5,13.6170596192404,5.9427993751267,-0.110667719703358,276.977221335011,1044.50047013194,3590.0910970436,820,-0.153747717453815
1847,"VTA","TERRENO",-34.5892956,-58.4189484,72,575000,"PALERMO",14,13.2621253197795,4.27666611901606,0.181823186683671,535.057164868597,1321.24296515589,3774.34110254967,820,0.104213882761861
1848,"VTA","TERRENO",-34.5907105,-58.4188378,176,1300000,"PALERMO",14,14.0778748224318,5.17048399503815,0.472804177771573,670.530200132641,1456.59787671777,3701.99084529117,778,0.446585908621482
1849,"VTA","TERRENO",-34.5910615,-58.4188222,151,599000,"PALERMO",14,13.3030168770976,5.01727983681492,-0.212106228770834,705.944078178212,1490.26769612459,3685.86857191139,738,-0.219856898711092
1850,"VTA","TERRENO",-34.6379075,-58.4188123,274,295000,"BOEDO",5,12.594730635322,5.61312810638807,-0.517987783972187,697.358092973795,1137.23280884347,5118.27848569005,402,-0.501236031559429
1851,"VTA","TERRENO",-34.5911123,-58.4186779,151,580000,"PALERMO",14,13.2707833825226,5.01727983681492,-0.244339723345819,706.388052080754,1502.07626575741,3671.48311103038,734,-0.250272987430949
1852,"VTA","TERRENO",-34.617557,-58.418652,820,2100000,"ALMAGRO",5,14.5574479026937,6.7093043402583,0.379698606873188,704.474758960765,1334.80826669992,3738.97553849915,503,0.533126126229617
1853,"VTA","TERRENO",-34.6395412,-58.4184583,210,420000,"BOEDO",5,12.9480099902596,5.34710753071747,-0.00852535719736206,588.884848648535,961.013465923151,5233.62527600657,405,-0.0253890580679108
1854,"VTA","TERRENO",-34.5855992,-58.4184265,1416,4000000,"PALERMO",14,15.2018049190842,7.25559127425367,0.372549043048135,231.98356228444,1055.48751675922,3922.23083728933,951,0.210435945713174
1855,"VTA","TERRENO",-34.598737,-58.41836,207,689000,"ALMAGRO",5,13.4429965499958,5.33271879326537,0.0734530060578926,546.138591465173,1402.61872455072,3415.42756685141,1194,-0.00541007847922653
1856,"VTA","TERRENO",-34.628222,-58.418258,300,430000,"BOEDO",5,12.9715404876697,5.7037824746562,-0.194401926331906,403.512449855329,2212.32411924161,4337.54203057628,490,-0.178129419043372
1858,"VTA","TERRENO",-34.628522,-58.418194,300,430000,"BOEDO",5,12.9715404876697,5.7037824746562,-0.194401926331906,426.7530052175,2179.55465565067,4354.09716180765,491,-0.176901704934774
1859,"VTA","TERRENO",-34.6071935,-58.4179509,1370,3750000,"ALMAGRO",5,15.1372663979466,7.22256601882217,0.658176555770422,471.984341647681,848.657067730957,3360.57711009818,1188,0.53173270726733
1860,"VTA","TERRENO",-34.6258152,-58.417925,294,1100000,"BOEDO",5,13.9108207377686,5.68357976733868,0.756739514880923,224.953900228872,2077.5358905184,4149.57840564876,538,0.7117306085726
1861,"VTA","TERRENO",-34.6069741,-58.4178398,1370,3750000,"ALMAGRO",5,15.1372663979466,7.22256601882217,0.658176555770422,487.516961334131,843.682309501792,3347.6052480198,1198,0.530774258849359
1862,"VTA","TERRENO",-34.5856928,-58.4177259,188,1500000,"PALERMO",14,14.2209756660724,5.23644196282995,0.577180505476232,173.008376423902,1112.65336538384,3861.64809986312,926,0.399972538256503
1863,"VTA","TERRENO",-34.6391835,-58.4175971,287,595000,"BOEDO",5,13.2963166845278,5.65948221575962,0.156383350839586,530.917752760492,1014.15877748702,5152.4283492444,397,0.13664167267482
1864,"VTA","TERRENO",-34.6379585,-58.4173965,150,260000,"BOEDO",5,12.4684369099977,5.01063529409626,-0.290552562028485,588.202041880346,1150.90245740594,5036.88033960865,410,-0.300282781476462
1865,"VTA","TERRENO",-34.5825491,-58.41735,230,1900000,"PALERMO",14,14.4573644441367,5.4380793089232,0.695186184674661,316.226368912318,977.49115260208,4023.36122806542,791,0.573908758456441
1866,"VTA","TERRENO",-34.6234926,-58.4171878,225,630000,"BOEDO",5,13.3534750983677,5.41610040220442,0.356433415727744,257.349301559056,1814.80915992402,3945.36662475784,556,0.280497749655951
1867,"VTA","TERRENO",-34.606336,-58.417175,376,395000,"ALMAGRO",5,12.8866410438833,5.92958914338989,-0.833330449231185,494.408947713545,804.043245488339,3279.58343089197,1317,-1.00790052250344
