poly_id,operacion,tipo,latitud,longitud,m2total,preciousd,barrio,comuna,lnprecio,lnm2total,residuos,dist_subte,dist_tren,dist_obe,count_delitos,Residuos_Ej_4,Outliers_LH
"1343",VTA,TERRENO,-34.640788299999997,-58.445520999999999,1048.000000000000000,"400000",PARQUE CHACABUCO,"7",12.899219826090100,6.954638864880990,-0.979987063604458,654.529825799471951,2376.350002117959775,7173.599158881500443,"622",-0.924904346137223,"0"
"1344",VTA,TERRENO,-34.594053400000000,-58.445507700000000,300.000000000000000,"2000000",VILLA CRESPO,"15",14.508657738524199,5.703782474656200,0.926183852433078,320.953079503500987,2236.587440537420207,5957.679468096400342,"520",0.918101432012564,"0"
"1345",VTA,TERRENO,-34.556763099999998,-58.445370199999999,800.000000000000000,"4800000",BELGRANO,"13",15.384126475878100,6.684611727667930,0.772199237886278,1191.552946865740068,398.429037613053993,7821.560623758789916,"460",0.841934783917297,"0"
"1346",VTA,TERRENO,-34.592620300000000,-58.445337899999998,62.000000000000000,"550000",VILLA CRESPO,"15",13.217673557208700,4.127134385045090,0.560863940586189,228.172449702035010,2086.094393531070182,5972.590083883370426,"498",0.518160448795211,"0"
"1347",VTA,TERRENO,-34.631841999999999,-58.445287800000003,225.000000000000000,"649000",PARQUE CHACABUCO,"7",13.383187995686200,5.416100402204420,0.407270870833369,299.289801324994983,1405.546564819989953,6632.955385856539579,"492",0.324006436692364,"0"
"1348",VTA,TERRENO,-34.556849000000000,-58.445287499999999,800.000000000000000,"4000000",BELGRANO,"13",15.201804919084200,6.684611727667930,0.589877681092323,1193.193320922420071,399.454377774485010,7809.559370019769631,"460",0.659632548681490,"0"
"1349",VTA,TERRENO,-34.567096999999997,-58.445287000000000,249.000000000000000,"800000",PALERMO,"14",13.592367006650100,5.517452896464710,-0.216412199726383,328.351072556110012,706.543578285043054,7106.427185009690220,"485",-0.184313198972709,"0"
"1350",VTA,TERRENO,-34.605907999999999,-58.445278000000002,414.000000000000000,"610000",VILLA CRESPO,"15",13.321214236149499,6.025865973825310,-0.450357768241357,920.838221921763989,1486.926812802619907,5848.517558250769980,"491",-0.416198976631993,"0"
"1351",VTA,TERRENO,-34.617069999999998,-58.445250000000001,129.000000000000000,"399000",CABALLITO,"6",12.896716695872000,4.859812404361670,-0.113761095357431,525.713467189498033,282.216007277946005,6029.555279301440351,"306",-0.164591906623138,"0"
"1352",VTA,TERRENO,-34.583021000000002,-58.445123000000002,532.000000000000000,"1700000",CHACARITA,"15",14.346138809026399,6.276643489341640,0.488759223599016,990.640648180402991,1150.884582793419895,6257.667908459589853,"463",0.536979685680838,"0"
"1353",VTA,TERRENO,-34.620282899999999,-58.445110900000003,12886.000000000000000,"6000000",CABALLITO,"6",15.607270027192300,9.463896729698590,-0.106307067976506,360.967101563426013,176.558723574319004,6115.772559216249647,"611",-0.241566324527013,"0"
"1354",VTA,TERRENO,-34.584383500000001,-58.445103500000002,190.000000000000000,"1650000",CHACARITA,"15",14.316285845876800,5.247024072160490,1.063405077855600,844.611479729166035,1298.193954971299945,6202.571996643169769,"489",1.083339284560490,"0"
"1355",VTA,TERRENO,-34.555071800000000,-58.445074099999999,1022.000000000000000,"1850000",BELGRANO,"13",14.430696197054500,6.929516770763650,-0.325016993744542,1319.878454026890040,545.318371855168948,7927.320149709929865,"403",-0.199645296307287,"0"
"1356",VTA,TERRENO,-34.615967400000002,-58.445066799999999,190.000000000000000,"550000",CABALLITO,"6",13.217673557208700,5.247024072160490,-0.020139685707491,607.931085085766995,385.964252413477027,5983.953089581679706,"331",-0.053080007713961,"0"
"1357",VTA,TERRENO,-34.600807199999998,-58.445053199999997,215.000000000000000,"340000",VILLA CRESPO,"15",12.736700896592300,5.370638028127660,-0.650180889552480,525.727072129823000,2049.312561658020059,5830.015122137289836,"511",-0.643979474797803,"0"
"1358",VTA,TERRENO,-34.609083300000002,-58.445049800000000,311.000000000000000,"658000",CABALLITO,"6",13.396960210307499,5.739792912179230,-0.130162049198049,1222.181548482730022,1134.449171527980070,5853.989073755189565,"456",-0.026776608697699,"0"
"1359",VTA,TERRENO,-34.593010100000001,-58.444997000000001,141.000000000000000,"350000",VILLA CRESPO,"15",12.765688433465600,4.948759890378170,-0.373504904789113,276.389203856986001,2111.848830774019916,5933.297036352780196,"518",-0.406174789422496,"0"
"1360",VTA,TERRENO,-34.593935299999998,-58.444965500000002,277.000000000000000,"595000",VILLA CRESPO,"15",13.296316684527801,5.624017506187340,-0.239326471387478,343.100430406727980,2204.407294657370130,5911.081045060899669,"545",-0.255418187568088,"0"
"1361",VTA,TERRENO,-34.616478000000001,-58.444749999999999,209.000000000000000,"500000",CABALLITO,"6",13.122363377404300,5.342334251964810,-0.171407329033851,545.101613495100992,322.958581050331020,5969.035495489610184,"333",-0.220898232550037,"0"
"1362",VTA,TERRENO,-34.607767899999999,-58.444729899999999,266.000000000000000,"960000",CABALLITO,"6",13.774688563444000,5.583496308781700,0.339329445097111,1077.017460285949937,1276.937416835500017,5811.250611730019955,"484",0.420589037262295,"0"
"1363",VTA,TERRENO,-34.603838400000001,-58.444699300000003,294.000000000000000,"500000",VILLA CRESPO,"15",13.122363377404300,5.683579767338680,-0.448249317572839,704.493783164851038,1711.715175720220032,5789.681881512509790,"493",-0.435632263277479,"0"
"1364",VTA,TERRENO,-34.610227999999999,-58.444698000000002,153.000000000000000,"249000",CABALLITO,"6",12.425208175446800,5.030437921392440,-0.685445390970284,1171.785831980000012,1004.787269556140018,5836.650398775190297,"431",-0.601147799454997,"0"
"1365",VTA,TERRENO,-34.594822999999998,-58.444684000000002,165.000000000000000,"650000",VILLA CRESPO,"15",13.384727641871800,5.105945473900580,0.153249234234145,434.600498461252016,2285.335320637049790,5868.632813945680027,"578",0.145582215324484,"0"
"1366",VTA,TERRENO,-34.616889200000003,-58.444641699999998,200.000000000000000,"650000",CABALLITO,"6",13.384727641871800,5.298317366548040,0.116799644629232,503.051393948437976,276.560876608810986,5970.534438386260263,"363",0.047425407366919,"0"
"1367",VTA,TERRENO,-34.597889299999999,-58.444640600000000,210.000000000000000,"990000",VILLA CRESPO,"15",13.805460222110799,5.347107530717470,0.432393402564369,462.385644055268983,2370.706104940889873,5818.222284107940141,"726",0.396391297917296,"0"
"1368",VTA,TERRENO,-34.587359999999997,-58.444560000000003,241.000000000000000,"600000",CHACARITA,"15",13.304684934198299,5.484796933490650,-0.087794418588207,556.909555607282982,1541.870196763879903,6049.633513629470144,"498",-0.100109533758062,"0"
"1369",VTA,TERRENO,-34.628396000000002,-58.444387300000002,300.000000000000000,"1280000",CABALLITO,"6",14.062370635895800,5.703782474656200,0.556390428039391,357.019782115602993,1017.478603192839955,6386.282853374539627,"570",0.486169588746877,"0"
"1370",VTA,TERRENO,-34.594434900000003,-58.444377500000002,402.000000000000000,"980000",VILLA CRESPO,"15",13.795307850646800,5.996452088619020,0.041005002728502,420.439054367956999,2234.928568936989905,5848.194646359330363,"581",0.031776691474676,"0"
"1371",VTA,TERRENO,-34.591792099999999,-58.444370700000000,670.000000000000000,"379000",VILLA CRESPO,"15",12.845291484064600,6.507277712385010,-1.208921680534350,293.899551395854019,1965.084789245210004,5905.350673443000233,"495",-1.234308134660910,"0"
"1372",VTA,TERRENO,-34.594720899999999,-58.444289699999999,221.000000000000000,"950000",VILLA CRESPO,"15",13.764217263576700,5.398162701517750,0.361175494202993,449.094849200997999,2261.537777652039949,5834.851157448490085,"592",0.351198734060009,"0"
"1373",VTA,TERRENO,-34.586164799999999,-58.444184200000002,187.000000000000000,"515000",CHACARITA,"15",13.151922179645901,5.231108616854590,-0.091614481465148,690.058044801916026,1412.572274511109981,6057.623511519440399,"555",-0.110360211266330,"0"
"1374",VTA,TERRENO,-34.547988599999996,-58.444177799999999,324.000000000000000,"1700000",BELGRANO,"13",14.346138809026399,5.780743515792330,0.264880725143784,1873.865709463429994,1276.804923905109945,8423.777865744590599,"75",0.646232528097318,"0"
"1375",VTA,TERRENO,-34.609862999999997,-58.444074399999998,105.000000000000000,"500000",CABALLITO,"6",13.122363377404300,4.653960350157520,0.232743178068159,1167.722551624289963,1041.409749223550079,5774.872638474849737,"476",0.302477912954459,"0"
"1376",VTA,TERRENO,-34.583638999999998,-58.444049999999997,205.000000000000000,"820000",CHACARITA,"15",13.617059619240401,5.323009979138410,0.319566842023243,952.747307657901956,1184.888947269399978,6141.085687126699668,"476",0.350132422670414,"0"
"1377",VTA,TERRENO,-34.583781799999997,-58.444046200000003,204.000000000000000,"750000",PALERMO,"14",13.527828485512501,5.318119993844220,-0.163920581480866,937.981045473497034,1196.471343820029915,6135.079704849649715,"479",-0.012868566796742,"0"
"1378",VTA,TERRENO,-34.607309999999998,-58.443967000000001,239.000000000000000,"660000",VILLA CRESPO,"15",13.399995114002600,5.476463551931510,-0.049017788672596,1002.301307982750018,1324.217434620330096,5737.591305931579882,"537",-0.035714546410448,"0"
"1379",VTA,TERRENO,-34.587797500000001,-58.443906200000001,393.000000000000000,"850000",CHACARITA,"15",13.652991628466500,5.973809611869260,-0.026591464637786,549.848374598102964,1551.782346683540027,5978.014296627669864,"530",-0.046467223906553,"0"
"1380",VTA,TERRENO,-34.587294999999997,-58.443874999999998,320.000000000000000,"700000",CHACARITA,"15",13.458835614025499,5.768320995793770,-0.100103264978585,596.543942351648980,1502.373335701299993,5991.818187335080438,"575",-0.130093953333390,"0"
"1381",VTA,TERRENO,-34.613780900000002,-58.443873000000004,229.000000000000000,"650000",CABALLITO,"6",13.384727641871800,5.433722003554240,0.037302364784156,775.321517360255029,606.401551214220035,5825.394022268619665,"355",0.042572387353668,"0"
"1382",VTA,TERRENO,-34.559417500000002,-58.443614699999998,179.000000000000000,"1150000",BELGRANO,"13",13.955272500339399,5.187385805840750,0.222380063004702,1085.679244726489969,493.891605649919995,7506.486080679599581,"346",0.293681259195057,"0"
