"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","agronomia","almagro","balvanera","barrac_e","barrac_o","belgrano","boedo","boca","caballito","chacarita","coghlan","colegial","constitu","fl_norte","fl_sur","floresta","liniers","mataderos","mt_castro","montserr","nva_pomp","nunez","palermo","p_avell","p_chacab","p_chas","p_patric","paternal","p_mader","recoleta","retiro","saavedra","san_cris","san_nico","san_telmo","v_sars","versalles","vcrespo","vdelparq","v_d_nor","v_d_sur","vgmitre","vlugano","vluro","vortuzar","vpuerr","vreal","vriachu","vsrita","vsoldati","vurquiza","residuos"
119,"VTA","TERRENO",-34.662291,-58.5117772,450,293000,"MATADEROS",9,12.5879278879992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0921434917962059
120,"VTA","TERRENO",-34.5909537,-58.5117056,123,370000,"VILLA DEVOTO NORTE",11,12.8212582846204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.447701011527791
121,"VTA","TERRENO",-34.5796783,-58.5116884,299,315000,"VILLA PUEYRREDON",12,12.6603279178078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.23652503373236
122,"VTA","TERRENO",-34.5913163,-58.5116884,292,1290000,"VILLA DEVOTO NORTE",11,14.0701527763379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7306702609769
123,"VTA","TERRENO",-34.591938,-58.5114174,400,850000,"VILLA DEVOTO NORTE",11,13.6529916284665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.268441020354196
124,"VTA","TERRENO",-34.6664203,-58.5112659,216,139000,"MATADEROS",9,11.8422292121128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.740194633387996
125,"VTA","TERRENO",-34.5984737,-58.511081,188,860000,"VILLA DEVOTO NORTE",11,13.6646876682297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.368604056999663
126,"VTA","TERRENO",-34.6185848,-58.5110296,140,225000,"MONTE CASTRO",10,12.3238556811866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.72969217544024
127,"VTA","TERRENO",-34.6112638,-58.5109315,170,365000,"VILLA DEVOTO SUR",11,12.8076526325646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.288314934416584
128,"VTA","TERRENO",-34.6535963,-58.5108504,248,260000,"MATADEROS",9,12.4684369099977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12734044446652
129,"VTA","TERRENO",-34.6093512,-58.5107188,824,1350000,"VILLA DEVOTO SUR",11,14.1156151504146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.746735243994685
130,"VTA","TERRENO",-34.5816341,-58.510646,149,260000,"VILLA PUEYRREDON",12,12.4684369099977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.365821468276705
131,"VTA","TERRENO",-34.5889164,-58.5106013,178,250000,"VILLA DEVOTO NORTE",11,12.4292161968444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.862694442834595
132,"VTA","TERRENO",-34.6569646,-58.5104993,180,260000,"MATADEROS",9,12.4684369099977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989642379193761
133,"VTA","TERRENO",-34.5913479,-58.510279,196,600000,"VILLA DEVOTO NORTE",11,13.3046849341983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00526294572741443
134,"VTA","TERRENO",-34.6557726,-58.5102586,304,650000,"MATADEROS",9,13.3847276418718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76558164672175
135,"VTA","TERRENO",-34.650133,-58.5101998,373,340000,"MATADEROS",9,12.7367008965923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887613977400252
136,"VTA","TERRENO",-34.62993,-58.509829,131,175000,"VILLA LURO",10,12.0725412529057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.916710631066942
