InputID,TargetID,Distance
"461",Obelisco,11484.7121306993
"462",Obelisco,9999.39937824223
"463",Obelisco,10009.9691760542
"464",Obelisco,9791.85660272786
"465",Obelisco,10100.1017540606
"466",Obelisco,9793.24963980107
"467",Obelisco,9805.92337337889
"468",Obelisco,11035.8235673292
"469",Obelisco,10600.7112285296
"470",Obelisco,9973.22219865708
"471",Obelisco,9775.74563446802
"472",Obelisco,10014.5941084533
"473",Obelisco,9795.19975467903
"474",Obelisco,10168.2341356943
"475",Obelisco,10135.8766301192
"476",Obelisco,9774.56955798475
"477",Obelisco,10973.9354626461
"478",Obelisco,11048.3272371635
"479",Obelisco,10352.8416979323
"480",Obelisco,10583.7307478865
"481",Obelisco,9723.67973326252
"482",Obelisco,9737.84453783156
"483",Obelisco,11047.2425919049
"484",Obelisco,10145.3690459284
"485",Obelisco,10515.9210542683
"486",Obelisco,10465.8341834224
"487",Obelisco,9689.82462460597
"488",Obelisco,10463.102693493
"489",Obelisco,9940.06767449294
"490",Obelisco,9663.03783255306
"491",Obelisco,10804.2958318936
"492",Obelisco,9650.38234429888
"493",Obelisco,11652.7798058634
"494",Obelisco,9744.49534937132
"495",Obelisco,10656.7792201052
"496",Obelisco,10814.9002094764
"497",Obelisco,10730.6848015385
"498",Obelisco,9944.19173644999
"499",Obelisco,9593.03721340358
"500",Obelisco,9732.74882258799
"501",Obelisco,9811.40646989592
"502",Obelisco,9573.30027367386
"503",Obelisco,10685.9247649842
"504",Obelisco,11512.6970198758
"505",Obelisco,11151.1010698506
"506",Obelisco,10378.8496822345
"507",Obelisco,9746.28662000052
"508",Obelisco,10948.3046483799
"509",Obelisco,10239.7483131342
"510",Obelisco,9771.95567931753
"511",Obelisco,11563.5793672817
"512",Obelisco,11141.8806042789
"513",Obelisco,9762.95714504086
"514",Obelisco,9570.25699542768
"515",Obelisco,9923.51721603219
"516",Obelisco,9817.24866731222
"517",Obelisco,10326.2893687035
"518",Obelisco,11111.9807869877
"519",Obelisco,11319.1877593349
"520",Obelisco,10187.0997763293
"521",Obelisco,11314.0341038221
"522",Obelisco,10287.2428929753
"523",Obelisco,11376.8929160487
"524",Obelisco,11169.6142930978
"525",Obelisco,9821.18290585472
"526",Obelisco,9448.71378243579
"527",Obelisco,9821.14157775758
"528",Obelisco,9821.11731620719
"529",Obelisco,10622.7752943953
"530",Obelisco,10555.6287935242
"531",Obelisco,9699.24203017733
"532",Obelisco,11144.5792246708
"533",Obelisco,10562.6158555361
"534",Obelisco,10604.8447200228
"535",Obelisco,9808.17232953092
"536",Obelisco,9614.71157674409
"537",Obelisco,9585.21889762519
"538",Obelisco,10060.6374160992
"539",Obelisco,9461.25924198004
"540",Obelisco,11020.9588056704
"541",Obelisco,10786.8570859908
"542",Obelisco,10820.8155336976
"543",Obelisco,9886.57352399496
"544",Obelisco,10704.9011946867
"545",Obelisco,10039.6243942561
"546",Obelisco,10221.0961816393
"547",Obelisco,11180.7995408451
"548",Obelisco,10259.5803442259
"549",Obelisco,10934.7098906338
"550",Obelisco,10220.800074169
"551",Obelisco,9966.72403626771
"552",Obelisco,10048.7124036914
"553",Obelisco,11392.3189882745
"554",Obelisco,9946.43988457526
"555",Obelisco,9374.59749278348
"556",Obelisco,10910.8739368699
"557",Obelisco,10182.3603967087
"558",Obelisco,10711.1635843145
