POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS,Distancia_obelisco(correcta)
"547",VTA,TERRENO,-34.548307299999998,-58.483511399999998,150.000000000000000,"198000",SAAVEDRA,"12",2103.385028622230038,717.939553050782024,7550649.073685520328581,"210",11180.799540845100637
"548",VTA,TERRENO,-34.565320999999997,-58.483412800000004,377.000000000000000,"490000",VILLA URQUIZA,"12",1034.762515935989995,531.616667273155031,7549606.835899610072374,"322",10259.580344225900262
"549",VTA,TERRENO,-34.552328099999997,-58.483411300000000,200.000000000000000,"312000",SAAVEDRA,"12",1965.101488114039967,387.082705389162015,7550408.608556239865720,"285",10934.709890633799660
"550",VTA,TERRENO,-34.565929900000000,-58.483281200000000,294.000000000000000,"680000",VILLA URQUIZA,"12",973.233616603683004,480.750735975234022,7549579.305750059895217,"331",10220.800074168999345
"551",VTA,TERRENO,-34.571666399999998,-58.483153399999999,466.000000000000000,"2100000",VILLA URQUIZA,"12",417.771669768747984,525.153551122479030,7549235.141676370054483,"552",9966.724036267709380
"552",VTA,TERRENO,-34.569358299999998,-58.483014500000003,376.000000000000000,"560000",VILLA URQUIZA,"12",631.267406580176953,383.669333482034972,7549388.129828649573028,"423",10048.712403691399231
"553",VTA,TERRENO,-34.544293799999998,-58.482995500000001,378.000000000000000,"620000",SAAVEDRA,"12",2272.813483746960173,1087.772951727680038,7550936.084451549686491,"206",11392.318988274499134
"554",VTA,TERRENO,-34.635330000000003,-58.482990000000001,274.000000000000000,"485000",VELEZ SARSFIELD,"10",1327.229544489940054,380.071554565414999,7545321.076482829637825,"558",9946.439884575260294
"555",VTA,TERRENO,-34.614128200000003,-58.482983400000002,204.000000000000000,"240000",VILLA SANTA RITA,"11",2209.057087426159796,1714.400975837690112,7546628.985133700072765,"357",9374.597492783479538
"556",VTA,TERRENO,-34.655048999999998,-58.482942999999999,306.000000000000000,"174000",MATADEROS,"9",2346.305236194200006,2509.979916142649927,7544108.904998189769685,"215",10910.873936869900717
"557",VTA,TERRENO,-34.566043999999998,-58.482883999999999,146.000000000000000,"650000",VILLA URQUIZA,"12",972.562650914395022,443.763381140296985,7549602.559019999578595,"324",10182.360396708700137
"558",VTA,TERRENO,-34.555503999999999,-58.482851599999996,190.000000000000000,"360000",SAAVEDRA,"12",1879.071028432980029,417.846076904222002,7550255.337719949893653,"294",10711.163584314499531
"559",VTA,TERRENO,-34.571610999999997,-58.482837000000004,342.000000000000000,"1451000",VILLA URQUIZA,"12",443.002003122274004,500.058713659744001,7549262.688886810094118,"563",9941.779663273149708
"560",VTA,TERRENO,-34.571606000000003,-58.482835000000001,346.000000000000000,"1450000",VILLA URQUIZA,"12",443.513096856660013,499.536298073824980,7549263.149877750314772,"563",9941.806074500040268
"561",VTA,TERRENO,-34.686199999999999,-58.482799999999997,290.000000000000000,"380000",VILLA LUGANO,"8",5137.466764085939758,922.201467936626045,7542199.642176830209792,"150",13046.426030031499977
"562",VTA,TERRENO,-34.554139999999997,-58.482683000000002,389.000000000000000,"720000",SAAVEDRA,"12",1870.981806886039976,402.085066598389972,7550352.359136359766126,"291",10773.975836497400451
"563",VTA,TERRENO,-34.572293999999999,-58.482672999999998,432.000000000000000,"1400000",VILLA URQUIZA,"12",408.039412105487997,544.666874474369024,7549233.059463409706950,"550",9900.911275917849707
"564",VTA,TERRENO,-34.544592199999997,-58.482647299999996,373.000000000000000,"680000",SAAVEDRA,"12",2227.888496378760010,1125.431396581599984,7550944.231193429790437,"215",11347.114820698900076
"565",VTA,TERRENO,-34.622300500000001,-58.482403499999997,171.000000000000000,"300000",VILLA SANTA RITA,"11",1496.553144376119917,1126.227195033409998,7546169.219619650393724,"317",9478.428580112289637
"566",VTA,TERRENO,-34.553690000000003,-58.482374999999998,299.000000000000000,"570000",SAAVEDRA,"12",1848.014208725659955,432.384955392562972,7550403.617529110051692,"301",10775.206787545699626
"567",VTA,TERRENO,-34.607454199999999,-58.482332599999999,200.000000000000000,"245000",VILLA DEL PARQUE,"11",2830.017433681040075,1229.124230522869993,7547090.203096499666572,"348",9251.558077219080587
"568",VTA,TERRENO,-34.654655099999999,-58.482301700000001,220.000000000000000,"190000",PARQUE AVELLANEDA,"9",2273.154499457370093,2474.946724576129782,7544182.062756179831922,"206",10837.913060659600887
"569",VTA,TERRENO,-34.613385800000003,-58.482279499999997,465.000000000000000,"690000",VILLA SANTA RITA,"11",2244.069237270849953,1685.804135275699991,7546728.432430219836533,"383",9300.553804831679372
